Size,Complexity,Gen Time(s),Comp Time(s)
10,10,5.5815e-05,0.000352345
20,20,0.000123479,0.000367037
30,30,0.000208708,0.000463028
40,40,0.000336578,0.000565118
50,50,0.000451112,0.000862527
60,60,0.000606646,0.00110742
70,70,0.000824861,0.00163198
80,80,0.00101879,0.00227163
90,90,0.00123017,0.00310307
100,100,0.0013772,0.00411915
110,110,0.00157091,0.0054486
120,120,0.00167076,0.00643825
130,130,0.00207176,0.00822775
140,140,0.00279752,0.0102672
150,150,0.00246509,0.0118171
160,160,0.0024033,0.0144373
170,170,0.00253298,0.0173093
180,180,0.00264645,0.018099
190,190,0.0026504,0.0214597
200,200,0.00287427,0.0249682
210,210,0.00312041,0.0273817
220,220,0.00324521,0.0302017
230,230,0.00333117,0.0315118
240,240,0.00332455,0.0327511
250,250,0.00498911,0.0346034
260,260,0.00361256,0.0367437
270,270,0.00385684,0.0393218
280,280,0.00407408,0.0428507
290,290,0.00460336,0.0409873
300,300,0.00469452,0.0447394
310,310,0.00496451,0.048892
320,320,0.00523786,0.0539209
330,330,0.00551726,0.0595796
340,340,0.00585743,0.0655488
350,350,0.00613723,0.071645
360,360,0.00653185,0.0761229
370,370,0.00678347,0.0831475
380,380,0.00711398,0.0904763
390,390,0.00747345,0.0983855
400,400,0.00778645,0.106566
410,410,0.00820664,0.118017
420,420,0.00853489,0.122838
430,430,0.00890824,0.130683
440,440,0.00930617,0.140768
450,450,0.00967207,0.151488
460,460,0.0101305,0.162387
470,470,0.0105424,0.174296
480,480,0.0109081,0.182567
490,490,0.0114124,0.198118
500,500,0.0118387,0.206677
510,510,0.0121729,0.220066
520,520,0.0131162,0.240222
530,530,0.0137024,0.25462
540,540,0.0143598,0.265753
550,550,0.0149819,0.284469
560,560,0.0151666,0.301853
570,570,0.0156754,0.320337
580,580,0.0161362,0.338736
590,590,0.0166249,0.358638
600,600,0.0172165,0.37316
610,610,0.0176294,0.398491
620,620,0.0182745,0.417608
630,630,0.0189192,0.441293
640,640,0.0192848,0.462455
650,650,0.0198261,0.490541
660,660,0.0205427,0.501728
670,670,0.0210945,0.530583
680,680,0.0216352,0.556021
690,690,0.0221442,0.58203
700,700,0.0229529,0.6057
710,710,0.0235119,0.634948
720,720,0.0242353,0.660302
730,730,0.02481,0.683835
740,740,0.0255025,0.716347
750,750,0.025953,0.745936
760,760,0.0266438,0.779912
770,770,0.0273615,0.809095
780,780,0.028012,0.835099
790,790,0.028659,0.867963
800,800,0.0294361,0.903347
810,810,0.0302239,0.942201
820,820,0.0308017,0.97677
830,830,0.0318974,1.0185
840,840,0.0322734,1.04214
850,850,0.03315,1.08318
860,860,0.0336694,1.12578
870,870,0.0344982,1.16999
880,880,0.0352604,1.21444
890,890,0.0359606,1.25408
900,900,0.0368167,1.28797
910,910,0.0375295,1.33549
920,920,0.0382679,1.37799
930,930,0.0392143,1.42248
940,940,0.0399415,1.47618
950,950,0.0415162,1.52435
960,960,0.0415096,1.56515
970,970,0.0423766,1.60602
980,980,0.0431235,1.66406
990,990,0.0445822,1.72811
1000,1000,0.0451657,1.77711
