Generation,Fitness
0,0.0202021410543
1,0.0200293112268
2,0.013695829203
3,7.66695557851e-05
4,1.88169809195e-06
5,1.88169804641e-06
6,1.88165194916e-06
7,7.6215735928e-07
8,7.32673668118e-07
9,4.0447978447e-07
10,4.0447978447e-07
11,4.04324786451e-07
12,3.87496602875e-07
13,3.86958379272e-07
14,3.83254331932e-07
15,3.83087895575e-07
16,3.7852743159e-07
17,1.80318595871e-08
18,1.80283490626e-08
19,1.80283490626e-08
20,1.80283490602e-08
21,1.80278845318e-08
22,1.79815378516e-08
23,1.52830438057e-08
24,1.52829866208e-08
25,1.52829866203e-08
26,1.5225815284e-08
27,1.52193501667e-08
28,1.50914740075e-08
29,1.50909809899e-08
30,1.50909809899e-08
31,1.50676477057e-08
32,1.50568024535e-08
33,1.49805397089e-08
34,1.49802851073e-08
35,1.49566297595e-08
36,1.49546750253e-08
37,1.49329286587e-08
38,1.49326759103e-08
39,1.4925728809e-08
40,1.49134203966e-08
41,1.49125938417e-08
42,1.49125938417e-08
43,6.84167866146e-12
44,4.75558577827e-12
45,3.68150626129e-12
46,1.00081888987e-13
47,1.38935291133e-14
48,1.38652496079e-14
49,1.37450546464e-14
50,1.37450546464e-14
51,1.16475385238e-14
52,1.01221293447e-14
53,1.01221293447e-14
54,1.01221293447e-14
55,1.01221280486e-14
56,9.72078850741e-15
57,9.72078770336e-15
58,9.47979849797e-15
59,9.47186324212e-15
60,9.41719095872e-15
61,5.28026345347e-15
62,5.28026345347e-15
63,5.27917243864e-15
64,4.8712012993e-15
65,4.72439861701e-15
66,4.68911913e-15
67,1.3934294154e-15
68,1.3934294154e-15
69,1.3934294154e-15
70,1.39342331105e-15
71,1.38949425904e-15
72,1.38948846556e-15
73,1.38948846556e-15
74,1.38948837864e-15
75,1.3879953273e-15
76,1.3879953273e-15
77,1.38799559983e-15
78,1.38778882284e-15
79,1.38778882284e-15
80,1.38778882284e-15
81,1.38778882284e-15
82,1.38778774603e-15
83,1.38778774603e-15
84,1.3877801078e-15
85,1.3877801078e-15
86,1.38777997774e-15
87,1.38777926418e-15
88,1.38777925526e-15
89,1.38777906098e-15
90,1.38777888245e-15
91,1.38777899884e-15
92,1.38777885751e-15
93,1.38777885751e-15
94,1.38777885749e-15
95,1.38777885141e-15
96,1.38777884922e-15
97,1.38777882436e-15
98,1.38777881816e-15
99,1.38777881816e-15
100,1.38777881404e-15
101,1.38777879951e-15
102,5.55111734152e-17
103,5.55111734152e-17
104,5.55111676245e-17
105,5.55111642964e-17
106,5.55111646125e-17
107,5.55111638124e-17
108,5.55111639903e-17
109,5.55111547051e-17
110,5.55111596736e-17
111,5.55111585827e-17
112,5.55111585827e-17
113,5.55111552603e-17
114,5.55111552603e-17
115,5.55111530617e-17
116,5.55111530617e-17
117,5.55111530471e-17
118,5.55111528877e-17
119,5.55111528877e-17
120,5.55111528877e-17
121,5.55111528877e-17
122,5.55111528877e-17
123,5.55111528877e-17
124,5.55111528877e-17
125,5.5511152887e-17
126,5.5511152887e-17
127,5.55111528859e-17
128,5.55111528857e-17
129,5.55111528858e-17
130,5.55111528857e-17
131,5.55111528857e-17
132,5.55111528856e-17
133,5.55111528856e-17
134,5.55111528856e-17
135,5.55111528856e-17
136,5.55111528856e-17
137,5.55111528856e-17
138,5.55111528856e-17
139,5.55111528856e-17
140,5.55111528856e-17
141,5.55111528856e-17
142,5.55111528856e-17
143,5.55111528856e-17
144,5.55111528856e-17
145,5.55111528856e-17
146,5.55111528856e-17
147,5.55111528856e-17
148,5.55111528856e-17
149,5.55111528856e-17
150,5.55111528856e-17
151,5.55111528856e-17
152,5.55111528856e-17
153,5.55111528856e-17
154,5.55111528856e-17
155,5.55111528856e-17
156,5.55111528856e-17
157,5.55111528856e-17
158,5.55111528856e-17
159,5.55111528856e-17
160,5.55111528856e-17
161,5.55111528856e-17
162,5.55111528856e-17
163,5.55111528856e-17
164,5.55111528856e-17
165,5.55111528856e-17
166,5.55111528856e-17
167,5.55111528856e-17
168,5.55111528856e-17
169,5.55111528856e-17
170,5.55111528856e-17
171,5.55111528856e-17
172,5.55111528856e-17
173,5.55111528856e-17
174,5.55111528856e-17
175,5.55111528856e-17
176,5.55111528856e-17
177,5.55111528856e-17
178,5.55111528856e-17
179,5.55111528856e-17
180,5.55111528856e-17
181,5.55111528856e-17
182,5.55111528856e-17
183,5.55111528856e-17
184,5.55111528856e-17
185,5.55111528856e-17
186,5.55111528856e-17
187,5.55111528856e-17
188,5.55111528856e-17
189,5.55111528856e-17
190,5.55111528856e-17
191,5.55111528856e-17
192,5.55111528856e-17
193,5.55111528856e-17
194,5.55111528856e-17
195,5.55111528856e-17
196,5.55111528856e-17
197,5.55111528856e-17
198,5.55111528856e-17
199,5.55111528856e-17
200,5.55111528856e-17
201,5.55111528856e-17
202,5.55111528856e-17
203,5.55111528856e-17
204,5.55111528856e-17
205,5.55111528856e-17
206,5.55111528856e-17
207,5.55111528856e-17
208,5.55111528856e-17
209,5.55111528856e-17
210,5.55111528856e-17
211,5.55111528856e-17
212,5.55111528856e-17
213,5.55111528856e-17
214,5.55111528856e-17
215,5.55111528856e-17
216,5.55111528856e-17
217,5.55111528856e-17
218,5.55111528856e-17
219,5.55111528856e-17
220,5.55111528856e-17
221,5.55111528856e-17
222,5.55111528856e-17
223,5.55111528856e-17
224,5.55111528856e-17
225,5.55111528856e-17
226,5.55111528856e-17
227,5.55111528856e-17
228,5.55111528856e-17
229,5.55111528856e-17
230,5.55111528856e-17
231,5.55111528856e-17
232,5.55111528856e-17
233,5.55111528856e-17
234,5.55111528856e-17
235,5.55111528856e-17
236,5.55111528856e-17
237,5.55111528856e-17
238,5.55111528856e-17
239,5.55111528856e-17
240,5.55111528856e-17
241,5.55111528856e-17
242,5.55111528856e-17
243,5.55111528856e-17
244,5.55111528856e-17
245,5.55111528856e-17
246,5.55111528856e-17
247,5.55111528856e-17
248,5.55111528856e-17
249,5.55111528856e-17
250,5.55111528856e-17
251,5.55111528856e-17
252,5.55111528856e-17
253,5.55111528856e-17
254,5.55111528856e-17
255,5.55111528856e-17
256,5.55111528856e-17
257,5.55111528856e-17
258,5.55111528856e-17
259,5.55111528856e-17
260,5.55111528856e-17
261,5.55111528856e-17
262,5.55111528856e-17
263,5.55111528856e-17
264,5.55111528856e-17
265,5.55111528856e-17
266,5.55111528856e-17
267,5.55111528856e-17
268,5.55111528856e-17
269,5.55111528856e-17
270,5.55111528856e-17
271,5.55111528856e-17
272,5.55111528856e-17
273,5.55111528856e-17
274,5.55111528856e-17
275,5.55111528856e-17
276,5.55111528856e-17
277,5.55111528856e-17
278,5.55111528856e-17
279,5.55111528856e-17
280,5.55111528856e-17
281,5.55111528856e-17
282,5.55111528856e-17
283,5.55111528856e-17
284,5.55111528856e-17
285,5.55111528856e-17
286,5.55111528856e-17
287,5.55111528856e-17
288,5.55111528856e-17
289,5.55111528856e-17
290,5.55111528856e-17
291,5.55111528856e-17
292,5.55111528856e-17
293,5.55111528856e-17
294,5.55111528856e-17
295,5.55111528856e-17
296,5.55111528856e-17
297,5.55111528856e-17
298,5.55111528856e-17
299,5.55111528856e-17
300,5.55111528856e-17
301,5.55111528856e-17
302,5.55111528856e-17
303,5.55111528856e-17
304,5.55111528856e-17
305,5.55111528856e-17
306,5.55111528856e-17
307,5.55111528856e-17
308,5.55111528856e-17
309,5.55111528856e-17
310,5.55111528856e-17
311,5.55111528856e-17
312,5.55111528856e-17
313,5.55111528856e-17
314,5.55111528856e-17
315,5.55111528856e-17
316,5.55111528856e-17
317,5.55111528856e-17
