Type,Trans Date,Post Date,Description,Amount,Category,Memo
Sale,4/3/17,4/4/17,Spotify USA,-4.99,null,null
Sale,4/2/17,4/3/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,4/2/17,4/3/17,FAMILY FARE 0339,-79.27,null,null
Sale,4/1/17,4/3/17,NEW BEGINNINGS RESTAURANT,-22.66,null,null
Sale,3/31/17,4/2/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,3/31/17,4/2/17,SHESHCO GRILL,-33.41,null,null
Sale,3/31/17,4/2/17,FRANCESCA'S #277,-50.88,null,null
Sale,3/31/17,4/2/17,JIMMY JOHNS 684 - E-CO,-8.88,null,null
Sale,3/31/17,4/2/17,BILL &amp; PAUL'S SPORTHAUS,-310.57,null,null
Sale,3/30/17,4/2/17,LITTLE CAESARS 1436 0009,-3.7,null,null
Payment,3/30/17,3/30/17,Payment Thank You-Mobile,609.66,null,null
Sale,3/28/17,3/29/17,FMLY FARE QUICK STOP #771,-20.99,null,null
Sale,3/28/17,3/29/17,FAMILY FARE 0339,-67.95,null,null
Sale,3/28/17,3/29/17,AUTO OWNERS INSURANCE CO,-11.62,null,null
Sale,3/27/17,3/28/17,FMLY FARE QUICK STOP #771,-31.41,null,null
Sale,3/26/17,3/27/17,RITE AID STORE - 4232,-15.89,null,null
Sale,3/26/17,3/29/17,MCDONALD'S F29828,-11.96,null,null
Sale,3/26/17,3/27/17,PILOT,-32.0,null,null
Sale,3/25/17,3/27/17,JEONJU RESTAURANT INC,-7.73,null,null
Sale,3/25/17,3/26/17,EL SOL,-75.43,null,null
Sale,3/25/17,3/26/17,WALKER BROS. ORIGINAL PA,-52.0,null,null
Sale,3/24/17,3/26/17,SPEEDWAY 03574 275,-1.58,null,null
Sale,3/24/17,3/26/17,MCDONALD'S M6324 OF MI,-11.91,null,null
Sale,3/23/17,3/24/17,SPEEDWAY 03574 275,-33.53,null,null
Sale,3/22/17,3/24/17,PEPPINOS GRILL PIZZERI,-18.7,null,null
Sale,3/21/17,3/22/17,SUNGLASSWAREHOUSE.COM,-22.07,null,null
Sale,3/21/17,3/22/17,SPEEDWAY 03574 275,-23.9,null,null
Sale,3/20/17,3/21/17,WALGREENS #12777,-10.19,null,null
Sale,3/20/17,3/21/17,JIMMY JOHNS 684 - E-CO,-8.88,null,null
Payment,3/20/17,3/20/17,Payment Thank You-Mobile,526.53,null,null
Sale,3/19/17,3/20/17,CRACKER BARREL #338 GRAND,-17.64,null,null
Sale,3/19/17,3/20/17,FAMILY FARE 0339,-32.38,null,null
Sale,3/18/17,3/19/17,STEAK-N-SHAKE#0321 Q99,-18.88,null,null
Sale,3/18/17,3/19/17,SPEEDWAY 03574 275,-4.95,null,null
Sale,3/18/17,3/20/17,MASTERCUTS,-51.9,null,null
Sale,3/18/17,3/20/17,SU ALTERATIONS II,-50.0,null,null
Sale,3/18/17,3/19/17,G.B. RUSSO &amp; SON,-29.25,null,null
Sale,3/17/17,3/19/17,FAST STOP #1,-58.08,null,null
Sale,3/17/17,3/19/17,SHESHCO GRILL,-44.08,null,null
Sale,3/15/17,3/17/17,SPEEDWAY 03574 275,-28.49,null,null
Sale,3/15/17,3/16/17,FAST STOP #1,-49.62,null,null
Sale,3/15/17,3/16/17,FAMILY FARE 0254,-15.99,null,null
Payment,3/15/17,3/15/17,Payment Thank You-Mobile,433.65,null,null
Sale,3/14/17,3/15/17,DAVIDS BRIDAL ON LINE,-183.28,null,null
Sale,3/14/17,3/16/17,ADMIRAL PETROLEUM CO,-23.99,null,null
Sale,3/12/17,3/13/17,FAMILY FARE 0339,-51.08,null,null
Sale,3/12/17,3/14/17,DUNKIN #352164     Q35,-4.0,null,null
Sale,3/12/17,3/13/17,BIGGBY COFFEE #499,-2.11,null,null
Sale,3/12/17,3/16/17,NORDSTROM DIRECT #0808,-69.92,null,null
Sale,3/11/17,3/12/17,Y OPA FROZEN YOGURT,-13.88,null,null
Sale,3/11/17,3/12/17,WALGREENS #10080,-13.28,null,null
Sale,3/11/17,3/13/17,ROMAS PIZZA,-14.5,null,null
Sale,3/10/17,3/10/17,COMCAST,-49.99,null,null
Sale,3/10/17,3/13/17,BARRETTS SMOKE HOUSE,-64.78,null,null
Sale,3/10/17,3/12/17,SPEEDWAY 03574 275,-26.37,null,null
Sale,3/9/17,3/12/17,OLIVE GARDEN  00010884,-21.05,null,null
Sale,3/9/17,3/10/17,SPEEDWAY 03574 275,-25.56,null,null
Sale,3/8/17,3/9/17,STELLAS LOUNGE,-26.4,null,null
Payment,3/7/17,3/7/17,Payment Thank You-Mobile,559.45,null,null
Sale,3/7/17,3/8/17,SWAROVSKI 083,-104.94,null,null
Sale,3/5/17,3/6/17,BIGGBY COFFEE #410,-9.62,null,null
Sale,3/5/17,3/6/17,ARBYS 6948,-11.4,null,null
Sale,3/5/17,3/6/17,IPHONE CITIZ*PMT 5 OF 24,-41.58,null,null
Sale,3/4/17,3/6/17,G.B. RUSSO &amp; SON,-54.34,null,null
Sale,3/4/17,3/7/17,BRANN'S OF GRANDVILLE,-15.71,null,null
Sale,3/4/17,3/5/17,OTTO'S POULTRY,-15.96,null,null
Sale,3/4/17,3/5/17,FAMILY FARE 0339,-71.22,null,null
Sale,3/4/17,3/5/17,PEPPERMILL CAFE,-11.28,null,null
Sale,3/4/17,3/6/17,YMCA VISSER,-70.45,null,null
Sale,3/4/17,3/5/17,SPEEDWAY 03574 275,-35.56,null,null
Sale,3/3/17,3/5/17,ADMIRAL PETROLEUM CO,-20.68,null,null
Sale,3/3/17,3/5/17,CANTINA MEXICAN RESTAURAN,-29.92,null,null
Sale,3/2/17,3/5/17,LITTLE CAESARS 1436 0009,-3.7,null,null
Sale,3/2/17,3/3/17,STATE RENEWAL BY MAIL,-112.0,null,null
