date, net, balance
2016-12-09 04:50:00, 0.0079, 10079.0
2016-12-10 04:50:00, 0.0074, 10153.58
2016-12-11 04:50:00, -0.0144, 10007.37
2016-12-12 04:50:00, 0.0179, 10186.5
2016-12-13 04:50:00, 0.0173, 10362.73
2016-12-14 04:50:00, -0.0063, 10297.44
2016-12-15 04:50:00, 0.003, 10328.33
2016-12-16 04:50:00, 0.0184, 10518.37
2016-12-17 04:50:00, -0.0064, 10451.05
2016-12-18 04:50:00, -0.0107, 10339.22
2016-12-19 04:50:00, -0.0067, 10269.95
2016-12-20 04:50:00, 0.0181, 10455.84
2016-12-21 04:50:00, -0.0088, 10363.83
2016-12-22 04:50:00, 0.0022, 10386.63
2016-12-23 04:50:00, 0.0132, 10523.73
2016-12-24 04:50:00, 0.0177, 10710.0
2016-12-25 04:50:00, 0.0049, 10762.48
2016-12-26 04:50:00, 0.0061, 10828.13
2016-12-27 04:50:00, -0.016, 10654.88
2016-12-28 04:50:00, 0.0184, 10850.93
2016-12-29 04:50:00, -0.0159, 10678.4
2016-12-30 04:50:00, 0.0043, 10724.32
2016-12-31 04:50:00, 0.0056, 10784.38
2017-01-01 04:50:00, 0.0045, 10832.91
2017-01-02 04:50:00, 0.0022, 10856.74
2017-01-03 04:50:00, -0.0076, 10774.23
2017-01-04 04:50:00, 0.0069, 10848.57
2017-01-05 04:50:00, 0.0044, 10896.3
2017-01-06 04:50:00, 0.0056, 10957.32
2017-01-07 04:50:00, -0.0048, 10904.72
2017-01-08 04:50:00, 0.0155, 11073.74
2017-01-09 04:50:00, 0.011, 11195.55
2017-01-10 04:50:00, 0.0157, 11371.32
2017-01-11 04:50:00, 0.0158, 11550.99
2017-01-12 04:50:00, 0.0183, 11762.37
2017-01-13 04:50:00, 0.0053, 11824.71
2017-01-14 04:50:00, -0.0064, 11749.03
2017-01-15 04:50:00, -0.0031, 11712.61
2017-01-16 04:50:00, 0.0092, 11820.37
2017-01-17 04:50:00, 0.0006, 11827.46
2017-01-18 04:50:00, 0.0169, 12027.34
2017-01-19 04:50:00, 0.0056, 12094.69
2017-01-20 04:50:00, -0.0133, 11933.83
2017-01-21 04:50:00, -0.0093, 11822.85
2017-01-22 04:50:00, -0.0115, 11686.89
2017-01-23 04:50:00, -0.0116, 11551.32
2017-01-24 04:50:00, 0.0153, 11728.06
2017-01-25 04:50:00, 0.0101, 11846.51
2017-01-26 04:50:00, -0.0014, 11829.92
2017-01-27 04:50:00, 0.0132, 11986.07
2017-01-28 04:50:00, -0.0127, 11833.85
2017-01-29 04:50:00, -0.0035, 11792.43
2017-01-30 04:50:00, 0.0126, 11941.01
2017-01-31 04:50:00, 0.0166, 12139.23
2017-02-01 04:50:00, -0.0114, 12000.84
2017-02-02 04:50:00, -0.0131, 11843.63
2017-02-03 04:50:00, -0.0023, 11816.39
2017-02-04 04:50:00, 0.0087, 11919.19
2017-02-05 04:50:00, 0.0181, 12134.93
2017-02-06 04:50:00, -0.0004, 12130.08
2017-02-07 04:50:00, -0.002, 12105.82
2017-02-08 04:50:00, 0.0156, 12294.67
2017-02-09 04:50:00, 0.0065, 12374.59
2017-02-10 04:50:00, -0.0007, 12365.93
2017-02-11 04:50:00, -0.0113, 12226.19
2017-02-12 04:50:00, 0.0044, 12279.99
2017-02-13 04:50:00, 0.0058, 12351.21
2017-02-14 04:50:00, 0.0067, 12433.96
2017-02-15 04:50:00, 0.016, 12632.9
2017-02-16 04:50:00, -0.0022, 12605.11
2017-02-17 04:50:00, -0.002, 12579.9
2017-02-18 04:50:00, 0.0103, 12709.47
2017-02-19 04:50:00, -0.0148, 12521.37
2017-02-20 04:50:00, -0.0147, 12337.31
2017-02-21 04:50:00, 0.0045, 12392.83
2017-02-22 04:50:00, 0.0073, 12483.3
2017-02-23 04:50:00, 0.0171, 12696.76
2017-02-24 04:50:00, 0.0032, 12737.39
2017-02-25 04:50:00, 0.0082, 12841.84
2017-02-26 04:50:00, 0.0136, 13016.49
2017-02-27 04:50:00, 0.0145, 13205.23
2017-02-28 04:50:00, -0.0091, 13085.06
2017-03-01 04:50:00, -0.008, 12980.38
2017-03-02 04:50:00, -0.014, 12798.65
2017-03-03 04:50:00, -0.0117, 12648.91
2017-03-04 04:50:00, -0.0026, 12616.02
2017-03-05 04:50:00, -0.0039, 12566.82
2017-03-06 04:50:00, -0.0036, 12521.58
2017-03-07 04:50:00, 0.0001, 12522.83
2017-03-08 04:50:00, -0.0012, 12507.8
2017-03-09 04:50:00, -0.0003, 12504.05
2017-03-10 04:50:00, 0.0119, 12652.85
2017-03-11 04:50:00, -0.0073, 12560.48
2017-03-12 04:50:00, 0.0014, 12578.06
2017-03-13 04:50:00, -0.0133, 12410.77
2017-03-14 04:50:00, 0.01, 12534.88
2017-03-15 04:50:00, -0.004, 12484.74
2017-03-16 04:50:00, -0.0119, 12336.17
2017-03-17 04:50:00, -0.004, 12286.83
2017-03-18 04:50:00, -0.0163, 12086.55
2017-03-19 04:50:00, -0.003, 12050.29
2017-03-20 04:50:00, -0.0062, 11975.58
2017-03-21 04:50:00, 0.0166, 12174.37
2017-03-22 04:50:00, 0.0039, 12221.85
2017-03-23 04:50:00, -0.0052, 12158.3
2017-03-24 04:50:00, -0.0021, 12132.77
2017-03-25 04:50:00, -0.0116, 11992.03
2017-03-26 04:50:00, -0.0145, 11818.15
2017-03-27 04:50:00, 0.0029, 11852.42
2017-03-28 04:50:00, 0.0052, 11914.05
2017-03-29 04:50:00, 0.0022, 11940.26
2017-03-30 04:50:00, -0.0088, 11835.19
2017-03-31 04:50:00, 0.0177, 12044.67
2017-04-01 04:50:00, -0.0113, 11908.57
2017-04-02 04:50:00, 0.0038, 11953.82
2017-04-03 04:50:00, -0.0115, 11816.35
2017-04-04 04:50:00, -0.0079, 11723.0
2017-04-05 04:50:00, -0.0161, 11534.26
2017-04-06 04:50:00, 0.0042, 11582.7
2017-04-07 04:50:00, -0.0016, 11564.17
2017-04-08 04:50:00, 0.0151, 11738.79
2017-04-09 04:50:00, -0.006, 11668.36
2017-04-10 04:50:00, 0.0041, 11716.2
2017-04-11 04:50:00, 0.0155, 11897.8
2017-04-12 04:50:00, -0.0112, 11764.54
2017-04-13 04:50:00, -0.0091, 11657.48
2017-04-14 04:50:00, 0.0006, 11664.47
2017-04-15 04:50:00, 0.003, 11699.46
2017-04-16 04:50:00, 0.0058, 11767.32
2017-04-17 04:50:00, -0.0147, 11594.34
2017-04-18 04:50:00, 0.0163, 11783.33
2017-04-19 04:50:00, -0.0166, 11587.73
2017-04-20 04:50:00, 0.0063, 11660.73
2017-04-21 04:50:00, 0.0179, 11869.46
2017-04-22 04:50:00, 0.0164, 12064.12
2017-04-23 04:50:00, -0.0128, 11909.7
2017-04-24 04:50:00, 0.0115, 12046.66
2017-04-25 04:50:00, -0.0041, 11997.27
2017-04-26 04:50:00, 0.0176, 12208.42
2017-04-27 04:50:00, 0.0102, 12332.95
2017-04-28 04:50:00, 0.0087, 12440.25
2017-04-29 04:50:00, -0.0072, 12350.68
2017-04-30 04:50:00, -0.0054, 12283.99
2017-05-01 04:50:00, -0.0094, 12168.52
2017-05-02 04:50:00, 0.0126, 12321.84
2017-05-03 04:50:00, -0.0134, 12156.73
2017-05-04 04:50:00, 0.0029, 12191.98
2017-05-05 04:50:00, 0.0145, 12368.76
2017-05-06 04:50:00, 0.0008, 12378.66
2017-05-07 04:50:00, -0.011, 12242.49
2017-05-08 04:50:00, 0.0023, 12270.65
2017-05-09 04:50:00, -0.009, 12160.21
2017-05-10 04:50:00, -0.0169, 11954.7
2017-05-11 04:50:00, 0.0183, 12173.47
2017-05-12 04:50:00, 0.0056, 12241.64
2017-05-13 04:50:00, 0.0053, 12306.52
2017-05-14 04:50:00, 0.0174, 12520.65
2017-05-15 04:50:00, 0.0069, 12607.04
2017-05-16 04:50:00, -0.0157, 12409.11
2017-05-17 04:50:00, 0.0139, 12581.6
2017-05-18 04:50:00, 0.0127, 12741.39
2017-05-19 04:50:00, 0.0159, 12943.98
2017-05-20 04:50:00, 0.0101, 13074.71
2017-05-21 04:50:00, -0.0162, 12862.9
2017-05-22 04:50:00, 0.0121, 13018.54
2017-05-23 04:50:00, -0.0082, 12911.79
2017-05-24 04:50:00, 0.0114, 13058.98
2017-05-25 04:50:00, 0.0101, 13190.88
2017-05-26 04:50:00, 0.0011, 13205.39
2017-05-27 04:50:00, 0.0153, 13407.43
2017-05-28 04:50:00, -0.003, 13367.21
2017-05-29 04:50:00, -0.0059, 13288.34
2017-05-30 04:50:00, -0.0034, 13243.16
2017-05-31 04:50:00, -0.0096, 13116.03
2017-06-01 04:50:00, 0.006, 13194.73
2017-06-02 04:50:00, -0.001, 13181.54
2017-06-03 04:50:00, 0.0027, 13217.13
2017-06-04 04:50:00, -0.0151, 13017.55
2017-06-05 04:50:00, -0.0143, 12831.4
2017-06-06 04:50:00, -0.0071, 12740.3
2017-06-07 04:50:00, 0.0049, 12802.73
2017-06-08 04:50:00, 0.0149, 12993.49
2017-06-09 04:50:00, 0.0014, 13011.68
2017-06-10 04:50:00, 0.0053, 13080.64
2017-06-11 04:50:00, 0.0171, 13304.32
2017-06-12 04:50:00, 0.0155, 13510.54
2017-06-13 04:50:00, -0.0027, 13474.06
2017-06-14 04:50:00, 0.0158, 13686.95
2017-06-15 04:50:00, 0.0138, 13875.83
2017-06-16 04:50:00, -0.0123, 13705.16
2017-06-17 04:50:00, -0.0107, 13558.51
2017-06-18 04:50:00, 0.0093, 13684.6
2017-06-19 04:50:00, -0.0043, 13625.76
2017-06-20 04:50:00, 0.0144, 13821.97
2017-06-21 04:50:00, 0.0001, 13823.35
2017-06-22 04:50:00, -0.0029, 13783.26
2017-06-23 04:50:00, 0.0131, 13963.82
2017-06-24 04:50:00, 0.0174, 14206.79
2017-06-25 04:50:00, -0.0123, 14032.05
2017-06-26 04:50:00, -0.013, 13849.63
2017-06-27 04:50:00, -0.0107, 13701.44
2017-06-28 04:50:00, -0.0069, 13606.9
2017-06-29 04:50:00, 0.0066, 13696.71
2017-06-30 04:50:00, 0.0052, 13767.93
2017-07-01 04:50:00, 0.0066, 13858.8
